Title,Released,imdbRating,imdbID,Downloaded?
Don't Look Now,1973-10-16,7.2,tt0069995,
La nuit américaine,1973-05-14,8,tt0070460,YT
Mean Streets,1973-10-14,7.2,tt0070379,
Sleeper,1973-12-17,7.1,tt0070707,
Pat Garrett & Billy the Kid,1973-05-23,7.2,tt0070518,
Turks fruit,1973-02-22,7.1,tt0070842,
El espíritu de la colmena,1973-10-08,7.8,tt0070040,
The Harder They Come,1972-06-05,6.9,tt0070155,YT
La planète sauvage,1973-05-11,7.7,tt0070544,YT
Amarcord,1973-12-18,7.9,tt0071129,L
The Towering Inferno,1974-12-16,7,tt0072308,
Bring Me the Head of Alfredo Garcia,1974-08-07,7.4,tt0071249,
Dersu Uzala,1974-07-01,8.2,tt0071411,YT
The Conversation,1974-04-07,7.8,tt0071360,
Zerkalo,1975-03-07,8,tt0072443,YT
Blazing Saddles,1974-02-07,7.7,tt0071230,
Céline et Julie vont en bateau: Phantom Ladies Over Paris,1974-09-01,7.3,tt0071381,L
Angst essen Seele auf,1974-03-05,8,tt0071141,
The Rocky Horror Picture Show,1975-08-14,7.4,tt0073629,
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975-05-14,7.6,tt0073198,
O thiasos,1975-05-12,7.9,tt0073800,
Deewaar,1975-01-24,8,tt0072860,
Dog Day Afternoon,1975-09-20,8,tt0072890,
Maynila sa mga kuko ng liwanag,1975-07-16,7.8,tt0073363,
Faustrecht der Freiheit,1975-05-15,7.6,tt0072976,
Nashville,1975-06-11,7.7,tt0073440,
Salò o le 120 giornate di Sodoma,1975-11-23,5.8,tt0073650,
Cría cuervos,1976-01-26,7.9,tt0074360,
Picnic at Hanging Rock,1975-08-08,7.4,tt0073540,YT
India Song,1975-06-04,6.2,tt0073166,YT
The Man Who Fell to Earth,1976-03-18,6.6,tt0074851,
All the President's Men,1976-04-04,7.9,tt0074119,
The Outlaw Josey Wales,1976-06-30,7.8,tt0075029,
The Killing of a Chinese Bookie,1976-02-15,7.3,tt0074749,L
Carrie,1976-11-03,7.4,tt0074285,
Ai no korîda,1976-09-15,6.6,tt0074102,
