Title,Released,imdbRating,imdbID,Downloaded?
Never Say Never Again,1983-10-07,6.2,tt0086006,Y
The Right Stuff,1983-10-16,7.8,tt0086197,Y
Scarface,1983-12-01,8.3,tt0086250,N
Sudden Impact,1983-12-09,6.6,tt0086383,Y
Mickey's Christmas Carol,1983-12-16,8,tt0085936,Y
Children of the Corn,1984-03-09,5.7,tt0087050,Y
The NeverEnding Story,1984-04-06,7.4,tt0088323,Y
Friday the 13th: The Final Chapter,1984-04-13,6,tt0087298,Y
Sixteen Candles,1984-05-04,7,tt0088128,Y
Indiana Jones and the Temple of Doom,1984-05-08,7.6,tt0087469,Y
Finders Keepers,1984-05-18,5.4,tt0087260,Y
"Paris, Texas",1984-05-19,8.1,tt0087884,Y
Once Upon a Time in America,1984-05-23,8.4,tt0087843,Y
Star Trek III: The Search for Spock,1984-06-01,6.7,tt0088170,Y
Ghostbusters,1984-06-08,7.8,tt0087332,Y
The Karate Kid,1984-06-22,7.3,tt0087538,N
Top Secret!,1984-06-22,7.2,tt0088286,Y
Another Country,1984-06-29,7.1,tt0086904,Y
Conan the Destroyer,1984-06-29,5.9,tt0087078,Y
Love Streams,1984-08-24,7.7,tt0087644,Y
Amadeus,1984-09-06,8.3,tt0086879,Y
1984,1984-10-10,7.1,tt0087803,Y
Jönssonligan får guldfeber,1984-10-19,6.2,tt0087527,Y
The Terminator,1984-10-26,8,tt0088247,Y
A Nightmare on Elm Street,1984-11-09,7.5,tt0087800,Y
"Silent Night, Deadly Night",1984-11-09,5.9,tt0088117,Y
Osôshiki,1984-11-17,7.1,tt0089746,Y
Dune,1984-12-03,6.4,tt0087182,Y
Ronja Rövardotter,1984-12-14,7.3,tt0088015,Y
The Breakfast Club,1985-02-07,7.8,tt0088847,Y
Pulgasari,1985-02-14,5.3,tt0089851,Y
Brazil,1985-02-20,7.9,tt0088846,Y
Max Headroom,1985-03-04,7.2,tt0089568,Y
Friday the 13th: A New Beginning,1985-03-22,4.8,tt0089173,Y
Rambo: First Blood Part II,1985-05-22,6.5,tt0089880,Y
A View to a Kill,1985-05-22,6.4,tt0090264,Y
Ran,1985-05-31,8.2,tt0089881,Y
The Goonies,1985-06-07,7.8,tt0089218,Y
Return to Oz,1985-06-21,6.8,tt0089908,Y
Day of the Dead,1985-06-30,7.1,tt0088993,Y
